rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude
751.44,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Detached house,One bed,1,FALSE,FALSE,TRUE,51.8985,-8.4756
1311.22,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Detached house,One bed,1,TRUE,TRUE,TRUE,53.3498,-6.2603
790.15,2020,1,2020H1,1,Galway,Connacht,Galway,Galway,Detached house,One bed,1,FALSE,FALSE,TRUE,53.2707,-9.0568
850.8,2020,1,2020H1,1,Meath,Leinster,Meath,Meath,Detached house,One bed,1,FALSE,FALSE,TRUE,53.6055,-6.6564
712.77,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Semi detached house,One bed,1,FALSE,FALSE,TRUE,51.8985,-8.4756
1163.78,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Semi detached house,One bed,1,TRUE,TRUE,TRUE,53.3498,-6.2603
887.9,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Terrace house,One bed,1,FALSE,FALSE,TRUE,51.8985,-8.4756
930.82,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,Terrace house,One bed,1,FALSE,TRUE,FALSE,51.8985,-8.4756
1242.84,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Terrace house,One bed,1,TRUE,TRUE,TRUE,53.3498,-6.2603
1225.45,2020,1,2020H1,1,Dublin,Leinster,Dublin 6,Dublin 6,Terrace house,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1060.22,2020,1,2020H1,1,Dublin,Leinster,Dublin 7,Dublin 7,Terrace house,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1376.57,2020,1,2020H1,1,Dublin,Leinster,Dublin 8,Dublin 8,Terrace house,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
937.2,2020,1,2020H1,1,Wicklow,Leinster,Wicklow,Wicklow,Terrace house,One bed,1,FALSE,FALSE,TRUE,52.9862,-6.3673
630.48,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,Apartment,One bed,1,FALSE,FALSE,TRUE,52.8365,-6.9341
640.36,2020,1,2020H1,1,Carlow,Leinster,Carlow Town,Carlow Town,Apartment,One bed,1,FALSE,FALSE,FALSE,52.8365,-6.9341
524.57,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,Apartment,One bed,1,FALSE,FALSE,TRUE,53.9908,-7.3606
563.2,2020,1,2020H1,1,Cavan,Ulster,Cavan Town,Cavan Town,Apartment,One bed,1,FALSE,FALSE,FALSE,53.9908,-7.3606
563.83,2020,1,2020H1,1,Clare,Munster,Clare,Clare,Apartment,One bed,1,FALSE,FALSE,TRUE,52.843,-8.9863
564.25,2020,1,2020H1,1,Clare,Munster,Ennis,"Ennis, Clare",Apartment,One bed,1,FALSE,FALSE,FALSE,52.843,-8.9863
887.7,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Apartment,One bed,1,FALSE,FALSE,TRUE,51.8985,-8.4756
969.33,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,Apartment,One bed,1,FALSE,TRUE,FALSE,51.8985,-8.4756
1038.71,2020,1,2020H1,1,Cork,Munster,Ballincollig,"Ballincollig, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
712.61,2020,1,2020H1,1,Cork,Munster,Bandon,"Bandon, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
880.17,2020,1,2020H1,1,Cork,Munster,Blackpool,"Blackpool, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
771.36,2020,1,2020H1,1,Cork,Munster,Cobh,"Cobh, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
857.48,2020,1,2020H1,1,Cork,Munster,Kinsale,"Kinsale, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
721.15,2020,1,2020H1,1,Cork,Munster,Mallow,"Mallow, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
825.3,2020,1,2020H1,1,Cork,Munster,Midleton,"Midleton, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
546.94,2020,1,2020H1,1,Cork,Munster,Skibbereen,"Skibbereen, Cork",Apartment,One bed,1,FALSE,FALSE,FALSE,51.8985,-8.4756
477.19,2020,1,2020H1,1,Donegal,Ulster,Donegal,Donegal,Apartment,One bed,1,FALSE,FALSE,TRUE,54.6549,-8.1041
491.85,2020,1,2020H1,1,Donegal,Ulster,Letterkenny,"Letterkenny, Donegal",Apartment,One bed,1,FALSE,FALSE,FALSE,54.6549,-8.1041
1444.6,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Apartment,One bed,1,TRUE,TRUE,TRUE,53.3498,-6.2603
995.49,2020,1,2020H1,1,Dublin,Leinster,Balbriggan,"Balbriggan, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1543.63,2020,1,2020H1,1,Dublin,Leinster,Blackrock,"Blackrock, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1127.78,2020,1,2020H1,1,Dublin,Leinster,Donabate,"Donabate, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1538.28,2020,1,2020H1,1,Dublin,Leinster,Dun Laoghaire,"Dun Laoghaire, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1205.47,2020,1,2020H1,1,Dublin,Leinster,Lucan,"Lucan, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1510.47,2020,1,2020H1,1,Dublin,Leinster,Malahide,"Malahide, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1315.57,2020,1,2020H1,1,Dublin,Leinster,Monkstown,"Monkstown, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1337.48,2020,1,2020H1,1,Dublin,Leinster,Portmarnock,"Portmarnock, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1575.15,2020,1,2020H1,1,Dublin,Leinster,Stillorgan,"Stillorgan, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1209.04,2020,1,2020H1,1,Dublin,Leinster,Swords,"Swords, Dublin",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1540.5,2020,1,2020H1,1,Dublin,Leinster,Dublin 1,Dublin 1,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1613.52,2020,1,2020H1,1,Dublin,Leinster,I.F.S.C.,"I.F.S.C., Dublin 1",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1404.73,2020,1,2020H1,1,Dublin,Leinster,Parnell Street,"Parnell Street, Dublin 1",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1449.85,2020,1,2020H1,1,Dublin,Leinster,Summerhill,"Summerhill, Dublin 1",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1782.07,2020,1,2020H1,1,Dublin,Leinster,Dublin 2,Dublin 2,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1643.65,2020,1,2020H1,1,Dublin,Leinster,Pearse Street,"Pearse Street, Dublin 2",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
