rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
751.44,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Detached house,One bed,1.0,False,False,True,51.8985,-8.4756,1
1311.22,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Detached house,One bed,1.0,True,True,True,53.3498,-6.2603,1
790.15,2020,1,2020H1,1,Galway,Connacht,Galway,Galway,Detached house,One bed,1.0,False,False,True,53.2707,-9.0568,1
850.8,2020,1,2020H1,1,Meath,Leinster,Meath,Meath,Detached house,One bed,1.0,False,False,True,53.6055,-6.6564,1
712.77,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Semi detached house,One bed,1.0,False,False,True,51.8985,-8.4756,1
1163.78,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Semi detached house,One bed,1.0,True,True,True,53.3498,-6.2603,1
887.9,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Terrace house,One bed,1.0,False,False,True,51.8985,-8.4756,1
930.82,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,Terrace house,One bed,1.0,False,True,False,51.8985,-8.4756,1
1242.84,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,Terrace house,One bed,1.0,True,True,True,53.3498,-6.2603,1
1225.45,2020,1,2020H1,1,Dublin,Leinster,Dublin 6,Dublin 6,Terrace house,One bed,1.0,True,True,False,53.3498,-6.2603,1
1060.22,2020,1,2020H1,1,Dublin,Leinster,Dublin 7,Dublin 7,Terrace house,One bed,1.0,True,True,False,53.3498,-6.2603,1
1376.57,2020,1,2020H1,1,Dublin,Leinster,Dublin 8,Dublin 8,Terrace house,One bed,1.0,True,True,False,53.3498,-6.2603,1
937.2,2020,1,2020H1,1,Wicklow,Leinster,Wicklow,Wicklow,Terrace house,One bed,1.0,False,False,True,52.9862,-6.3673,1
630.48,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,Apartment,One bed,1.0,False,False,True,52.8365,-6.9341,1
640.36,2020,1,2020H1,1,Carlow,Leinster,Carlow Town,Carlow Town,Apartment,One bed,1.0,False,False,False,52.8365,-6.9341,1
524.57,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,Apartment,One bed,1.0,False,False,True,53.9908,-7.3606,1
563.2,2020,1,2020H1,1,Cavan,Ulster,Cavan Town,Cavan Town,Apartment,One bed,1.0,False,False,False,53.9908,-7.3606,1
563.83,2020,1,2020H1,1,Clare,Munster,Clare,Clare,Apartment,One bed,1.0,False,False,True,52.843,-8.9863,1
564.25,2020,1,2020H1,1,Clare,Munster,Ennis,"Ennis, Clare",Apartment,One bed,1.0,False,False,False,52.843,-8.9863,1
887.7,2020,1,2020H1,1,Cork,Munster,Cork,Cork,Apartment,One bed,1.0,False,False,True,51.8985,-8.4756,1
969.33,2020,1,2020H1,1,Cork,Munster,Cork City,Cork City,Apartment,One bed,1.0,False,True,False,51.8985,-8.4756,1
1038.71,2020,1,2020H1,1,Cork,Munster,Ballincollig,"Ballincollig, Cork",Apartment,One bed,1.0,False,False,False,51.8985,-8.4756,1
712.61,2020,1,2020H1,1,Cork,Munster,Bandon,"Bandon, Cork",Apartment,One bed,1.0,False,False,False,51.8985,-8.4756,1
880.17,2020,1,2020H1,1,Cork,Munster,Blackpool,"Blackpool, Cork",Apartment,One bed,1.0,False,False,False,51.8985,-8.4756,1
771.36,2020,1,2020H1,1,Cork,Munster,Cobh,"Cobh, Cork",Apartment,One bed,1.0,False,False,False,51.8985,-8.4756,1
